<<<<<<< HEAD
,TicketID,SystemName,TicketSummary,TicketDescription,IssueType,Timestamp,Priority,Severity,OpenTime,CloseTime,Status,Assignee
2251,TCKT3251,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-02 00:39:22,Critical,Critical,2024-12-02 00:39:22,,Open,Bob
2252,TCKT3252,UserPortal,Bug issue in UserPortal,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-01-15 15:24:42,Low,Critical,2025-01-15 15:24:42,,In Progress,Alice
2253,TCKT3253,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-02-12 05:19:43,Critical,Minor,2025-02-12 05:19:43,,In Progress,Alice
2254,TCKT3254,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-28 14:35:49,Critical,Minor,2024-12-28 14:35:49,2024-12-28 15:35:49,Resolved,Bob
2255,TCKT3255,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-09 01:15:06,Low,Major,2025-01-09 01:15:06,,Open,Charlie
2256,TCKT3256,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-09 05:04:57,Low,Minor,2024-12-09 05:04:57,2024-12-09 10:04:57,Closed,Bob
2257,TCKT3257,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-08 17:07:10,High,Major,2025-02-08 17:07:10,,In Progress,Bob
2258,TCKT3258,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-17 03:55:13,High,Critical,2025-02-17 03:55:13,,Open,Bob
2259,TCKT3259,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-22 01:22:18,Low,Critical,2025-01-22 01:22:18,,In Progress,Bob
2260,TCKT3260,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-01-13 18:37:47,Critical,Minor,2025-01-13 18:37:47,2025-01-13 22:37:47,Closed,Bob
2261,TCKT3261,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-26 00:59:41,Critical,Critical,2024-12-26 00:59:41,,In Progress,Alice
2262,TCKT3262,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-23 03:11:39,High,Critical,2025-01-23 03:11:39,2025-01-23 05:11:39,Resolved,Alice
2263,TCKT3263,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-26 21:26:32,Critical,Critical,2024-12-26 21:26:32,,Open,Eve
2264,TCKT3264,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-18 13:45:36,Critical,Minor,2024-12-18 13:45:36,2024-12-18 18:45:36,Closed,Alice
2265,TCKT3265,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-10 13:11:36,Critical,Minor,2025-01-10 13:11:36,2025-01-10 17:11:36,Closed,Bob
2266,TCKT3266,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-22 14:45:12,Critical,Major,2024-12-22 14:45:12,,In Progress,Eve
2267,TCKT3267,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-09 09:44:01,Low,Minor,2025-02-09 09:44:01,2025-02-09 10:44:01,Closed,Bob
2268,TCKT3268,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-01-16 12:08:36,Medium,Minor,2025-01-16 12:08:36,2025-01-16 15:08:36,Resolved,Dana
2269,TCKT3269,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-01-15 09:24:34,Critical,Critical,2025-01-15 09:24:34,2025-01-15 10:24:34,Closed,Alice
2270,TCKT3270,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-11 18:57:51,High,Critical,2024-12-11 18:57:51,2024-12-11 21:57:51,Resolved,Charlie
2271,TCKT3271,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-16 06:50:21,Low,Major,2024-12-16 06:50:21,2024-12-16 11:50:21,Closed,Charlie
2272,TCKT3272,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-02-16 15:24:04,High,Critical,2025-02-16 15:24:04,2025-02-16 18:24:04,Closed,Charlie
2273,TCKT3273,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-14 10:59:58,Low,Major,2024-12-14 10:59:58,,In Progress,Charlie
2274,TCKT3274,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-07 03:13:05,Low,Minor,2024-12-07 03:13:05,,In Progress,Charlie
2275,TCKT3275,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-28 14:15:22,Low,Minor,2024-12-28 14:15:22,2024-12-28 17:15:22,Closed,Bob
2276,TCKT3276,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-31 10:54:28,Low,Major,2024-12-31 10:54:28,,In Progress,Bob
2277,TCKT3277,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-21 09:52:51,Critical,Critical,2025-01-21 09:52:51,2025-01-21 12:52:51,Closed,Alice
2278,TCKT3278,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-20 01:57:47,Medium,Critical,2025-01-20 01:57:47,2025-01-20 02:57:47,Resolved,Bob
2279,TCKT3279,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-30 00:06:54,Critical,Minor,2024-12-30 00:06:54,,In Progress,Eve
2280,TCKT3280,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-05 14:42:04,Critical,Major,2025-02-05 14:42:04,2025-02-05 16:42:04,Closed,Alice
2281,TCKT3281,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-13 11:25:06,High,Critical,2025-02-13 11:25:06,,In Progress,Bob
2282,TCKT3282,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-01-14 23:26:38,Low,Minor,2025-01-14 23:26:38,,In Progress,Eve
2283,TCKT3283,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2025-02-15 14:17:53,Low,Major,2025-02-15 14:17:53,,Open,Eve
2284,TCKT3284,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-07 01:18:53,Critical,Critical,2025-01-07 01:18:53,,Open,Dana
2285,TCKT3285,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-21 18:17:36,Low,Major,2024-12-21 18:17:36,2024-12-21 23:17:36,Closed,Dana
2286,TCKT3286,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-14 19:54:09,Medium,Critical,2025-01-14 19:54:09,,Open,Bob
2287,TCKT3287,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-15 13:19:35,High,Minor,2025-02-15 13:19:35,2025-02-15 17:19:35,Resolved,Bob
2288,TCKT3288,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-05 00:27:43,High,Minor,2024-12-05 00:27:43,2024-12-05 02:27:43,Resolved,Alice
2289,TCKT3289,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-01-15 02:33:44,Medium,Major,2025-01-15 02:33:44,2025-01-15 06:33:44,Closed,Dana
2290,TCKT3290,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-10 23:51:21,Low,Critical,2025-01-10 23:51:21,,In Progress,Eve
2291,TCKT3291,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-17 00:12:53,Medium,Major,2025-02-17 00:12:53,2025-02-17 01:12:53,Resolved,Alice
2292,TCKT3292,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-23 21:44:38,Critical,Minor,2025-02-23 21:44:38,2025-02-24 00:44:38,Resolved,Eve
2293,TCKT3293,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2024-12-13 07:07:00,Low,Critical,2024-12-13 07:07:00,2024-12-13 12:07:00,Closed,Eve
2294,TCKT3294,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-04 15:25:39,Critical,Critical,2024-12-04 15:25:39,,In Progress,Charlie
2295,TCKT3295,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-25 04:08:35,Critical,Major,2024-12-25 04:08:35,2024-12-25 06:08:35,Resolved,Alice
2296,TCKT3296,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-23 17:20:11,High,Minor,2024-12-23 17:20:11,,In Progress,Bob
2297,TCKT3297,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-01-08 00:10:45,Critical,Major,2025-01-08 00:10:45,2025-01-08 05:10:45,Resolved,Dana
2298,TCKT3298,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-06 18:21:19,Critical,Major,2025-02-06 18:21:19,,Open,Charlie
2299,TCKT3299,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-02 01:27:06,Medium,Major,2024-12-02 01:27:06,,Open,Bob
2300,TCKT3300,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-10 18:41:40,Low,Minor,2025-02-10 18:41:40,,In Progress,Charlie
2301,TCKT3301,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-12 12:06:40,Medium,Minor,2025-01-12 12:06:40,,In Progress,Bob
2302,TCKT3302,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-05 23:28:42,Medium,Minor,2024-12-05 23:28:42,2024-12-06 00:28:42,Resolved,Charlie
2303,TCKT3303,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-19 05:29:20,Critical,Minor,2025-02-19 05:29:20,,Open,Bob
2304,TCKT3304,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-02-18 05:48:57,High,Major,2025-02-18 05:48:57,,Open,Bob
2305,TCKT3305,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing null pointer error when trying to upload files.,Bug,2025-02-07 09:13:08,Medium,Major,2025-02-07 09:13:08,,In Progress,Alice
2306,TCKT3306,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-26 22:06:03,Low,Critical,2025-02-26 22:06:03,2025-02-27 02:06:03,Closed,Eve
2307,TCKT3307,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-02-03 04:49:09,Low,Critical,2025-02-03 04:49:09,,In Progress,Alice
2308,TCKT3308,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-03 02:36:42,Low,Critical,2025-01-03 02:36:42,2025-01-03 04:36:42,Closed,Charlie
2309,TCKT3309,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-16 19:52:34,Low,Critical,2024-12-16 19:52:34,,Open,Charlie
2310,TCKT3310,UserPortal,Security Breach issue in UserPortal,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2024-12-26 08:07:45,Low,Minor,2024-12-26 08:07:45,,In Progress,Eve
2311,TCKT3311,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-06 15:34:22,Medium,Critical,2024-12-06 15:34:22,2024-12-06 17:34:22,Resolved,Eve
2312,TCKT3312,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-02-04 09:04:07,Critical,Minor,2025-02-04 09:04:07,,Open,Charlie
2313,TCKT3313,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-25 00:16:04,High,Major,2025-01-25 00:16:04,,In Progress,Bob
2314,TCKT3314,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-04 00:58:54,Low,Major,2024-12-04 00:58:54,,Open,Alice
2315,TCKT3315,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-20 17:57:01,Medium,Minor,2025-02-20 17:57:01,,In Progress,Dana
2316,TCKT3316,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-13 14:52:43,Low,Major,2025-02-13 14:52:43,,In Progress,Charlie
2317,TCKT3317,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-08 08:52:59,Critical,Major,2025-02-08 08:52:59,,In Progress,Bob
2318,TCKT3318,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2024-12-10 16:39:38,Low,Minor,2024-12-10 16:39:38,2024-12-10 19:39:38,Resolved,Alice
2319,TCKT3319,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-14 09:54:33,Critical,Minor,2025-01-14 09:54:33,,In Progress,Eve
2320,TCKT3320,UserPortal,Bug issue in UserPortal,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-24 23:30:46,Medium,Major,2025-02-24 23:30:46,2025-02-25 00:30:46,Resolved,Bob
2321,TCKT3321,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-02-27 08:39:00,High,Critical,2025-02-27 08:39:00,2025-02-27 11:39:00,Closed,Eve
2322,TCKT3322,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-05 14:46:37,Low,Critical,2025-01-05 14:46:37,,In Progress,Charlie
2323,TCKT3323,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2024-12-03 08:17:16,High,Critical,2024-12-03 08:17:16,,Open,Charlie
2324,TCKT3324,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-09 12:55:16,High,Critical,2025-01-09 12:55:16,,In Progress,Charlie
2325,TCKT3325,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-13 17:00:59,Medium,Critical,2025-01-13 17:00:59,2025-01-13 19:00:59,Closed,Eve
2326,TCKT3326,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-01-27 20:30:22,Medium,Major,2025-01-27 20:30:22,2025-01-27 21:30:22,Closed,Charlie
2327,TCKT3327,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2024-12-28 03:32:31,Medium,Major,2024-12-28 03:32:31,,Open,Bob
2328,TCKT3328,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-21 22:47:06,Medium,Minor,2024-12-21 22:47:06,2024-12-22 01:47:06,Resolved,Bob
2329,TCKT3329,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-11 00:51:46,Medium,Minor,2025-02-11 00:51:46,,In Progress,Alice
2330,TCKT3330,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-02-18 02:59:22,Critical,Major,2025-02-18 02:59:22,,In Progress,Eve
2331,TCKT3331,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-01-02 04:08:45,Critical,Minor,2025-01-02 04:08:45,,In Progress,Eve
2332,TCKT3332,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-17 15:01:19,High,Minor,2025-01-17 15:01:19,,In Progress,Alice
2333,TCKT3333,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-28 15:21:11,Low,Minor,2024-12-28 15:21:11,,In Progress,Eve
2334,TCKT3334,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-01-06 23:46:32,Critical,Major,2025-01-06 23:46:32,2025-01-07 00:46:32,Resolved,Alice
2335,TCKT3335,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-12 05:39:48,Low,Major,2025-02-12 05:39:48,,In Progress,Eve
2336,TCKT3336,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-22 06:50:09,High,Critical,2024-12-22 06:50:09,2024-12-22 09:50:09,Resolved,Dana
2337,TCKT3337,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-30 18:15:04,Critical,Critical,2025-01-30 18:15:04,2025-01-30 22:15:04,Closed,Charlie
2338,TCKT3338,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-14 22:37:04,High,Major,2025-02-14 22:37:04,2025-02-15 01:37:04,Closed,Alice
2339,TCKT3339,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-21 17:50:22,Low,Critical,2024-12-21 17:50:22,2024-12-21 21:50:22,Resolved,Eve
2340,TCKT3340,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-25 13:40:47,Low,Critical,2025-02-25 13:40:47,,Open,Alice
2341,TCKT3341,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-09 13:35:57,Low,Critical,2025-02-09 13:35:57,,In Progress,Alice
2342,TCKT3342,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-06 23:51:02,High,Major,2025-01-06 23:51:02,,In Progress,Charlie
2343,TCKT3343,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-03 01:28:11,High,Critical,2025-02-03 01:28:11,,In Progress,Bob
2344,TCKT3344,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-05 01:42:47,High,Major,2024-12-05 01:42:47,,In Progress,Alice
2345,TCKT3345,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-17 15:13:47,Critical,Major,2025-02-17 15:13:47,2025-02-17 17:13:47,Resolved,Bob
2346,TCKT3346,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-22 10:09:54,Low,Critical,2025-02-22 10:09:54,2025-02-22 12:09:54,Closed,Alice
2347,TCKT3347,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-02 11:13:02,High,Critical,2025-02-02 11:13:02,2025-02-02 14:13:02,Closed,Charlie
2348,TCKT3348,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-25 03:05:48,Medium,Minor,2025-02-25 03:05:48,,In Progress,Eve
2349,TCKT3349,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-05 22:08:59,Medium,Major,2025-01-05 22:08:59,2025-01-06 02:08:59,Closed,Bob
2350,TCKT3350,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2024-12-08 07:04:01,Medium,Major,2024-12-08 07:04:01,2024-12-08 08:04:01,Resolved,Bob
2351,TCKT3351,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-02-01 14:56:39,High,Minor,2025-02-01 14:56:39,,In Progress,Dana
2352,TCKT3352,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-17 23:04:25,Medium,Minor,2025-01-17 23:04:25,2025-01-18 04:04:25,Closed,Charlie
2353,TCKT3353,MobileApp,Security Breach issue in MobileApp,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-01-15 18:10:43,High,Minor,2025-01-15 18:10:43,2025-01-15 21:10:43,Closed,Eve
2354,TCKT3354,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to SQL injection vulnerability. Immediate investigation required.,Security Breach,2025-02-27 11:41:20,High,Minor,2025-02-27 11:41:20,,Open,Alice
2355,TCKT3355,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2025-01-06 00:29:08,High,Critical,2025-01-06 00:29:08,2025-01-06 03:29:08,Closed,Dana
2356,TCKT3356,MobileApp,Bug issue in MobileApp,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-13 10:39:52,Critical,Critical,2025-02-13 10:39:52,,In Progress,Alice
2357,TCKT3357,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-02 04:15:27,High,Critical,2025-02-02 04:15:27,,In Progress,Bob
2358,TCKT3358,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-08 18:54:20,Critical,Minor,2025-01-08 18:54:20,,In Progress,Alice
2359,TCKT3359,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users retrieve reports. Expected response time is 3 seconds but observed is 10.,Performance Issue,2025-02-23 23:12:45,Low,Minor,2025-02-23 23:12:45,2025-02-24 04:12:45,Resolved,Charlie
2360,TCKT3360,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2024-12-17 07:45:08,High,Major,2024-12-17 07:45:08,,Open,Alice
2361,TCKT3361,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-28 11:25:33,Low,Minor,2024-12-28 11:25:33,2024-12-28 16:25:33,Resolved,Dana
2362,TCKT3362,UserPortal,Performance Issue issue in UserPortal,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-01-23 03:13:32,Critical,Critical,2025-01-23 03:13:32,2025-01-23 05:13:32,Closed,Alice
2363,TCKT3363,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2024-12-19 14:26:57,Low,Critical,2024-12-19 14:26:57,2024-12-19 19:26:57,Resolved,Bob
2364,TCKT3364,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-02-06 02:27:34,Critical,Major,2025-02-06 02:27:34,2025-02-06 04:27:34,Closed,Dana
2365,TCKT3365,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-01-18 15:40:33,Low,Critical,2025-01-18 15:40:33,,In Progress,Eve
2366,TCKT3366,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-11 12:35:43,High,Major,2025-02-11 12:35:43,2025-02-11 15:35:43,Resolved,Charlie
2367,TCKT3367,MobileApp,Performance Issue issue in MobileApp,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-05 23:36:03,Critical,Critical,2024-12-05 23:36:03,2024-12-06 02:36:03,Resolved,Charlie
2368,TCKT3368,UserPortal,Bug issue in UserPortal,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-30 06:53:42,Medium,Major,2025-01-30 06:53:42,2025-01-30 08:53:42,Resolved,Dana
